,points
1672825500,"{'v': [2.2359655615721095, 42344771.99, 2731010977.5795026, 0.000132645250096509, 162013.06512191644], 'c': [2.2359655615721095, 42344771.99, 2731010977.5795026]}"
1672826400,"{'v': [2.22960242185618, 42336385.43, 2723239031.2155986, 0.0001323352808933758, 161634.46837113594], 'c': [2.22960242185618, 42336385.43, 2723239031.2155986]}"
1672827300,"{'v': [2.2186549706103307, 42339597.58, 2709867801.334978, 0.00013168677408576996, 160842.3813904396], 'c': [2.2186549706103307, 42339597.58, 2709867801.334978]}"
1672828200,"{'v': [2.215470654207124, 42377436.9, 2705978473.519424, 0.00013149025349728737, 160602.35091157618], 'c': [2.215470654207124, 42377436.9, 2705978473.519424]}"
1672829100,"{'v': [2.2191606524156553, 42490586.58, 2710485441.689212, 0.00013175913044755514, 160930.75753617688], 'c': [2.2191606524156553, 42490586.58, 2710485441.689212]}"
1672830000,"{'v': [2.2224424279454706, 42249312.72, 2714493806.1971054, 0.00013192825432337252, 161137.32563783554], 'c': [2.2224424279454706, 42249312.72, 2714493806.1971054]}"
1672830900,"{'v': [2.2202620007442104, 42035166.32, 2711830629.8384013, 0.00013179463079181615, 160974.1176985832], 'c': [2.2202620007442104, 42035166.32, 2711830629.8384013]}"
1672831800,"{'v': [2.2218124660748297, 41989851.17, 2713724370.0243196, 0.00013186479385962074, 161059.8149524623], 'c': [2.2218124660748297, 41989851.17, 2713724370.0243196]}"
1672832400,"{'v': [2.223741828768808, 41915527.49, 2716080895.8973217, 0.00013195018086099576, 161164.1067367838], 'c': [2.223741828768808, 41915527.49, 2716080895.8973217]}"
1672833300,"{'v': [2.2274248202607714, 41878924.53, 2720579306.0552187, 0.0001321877626919787, 161454.28946573052], 'c': [2.2274248202607714, 41878924.53, 2720579306.0552187]}"
1672834200,"{'v': [2.2253022076503175, 41778061.52, 2717986744.506005, 0.00013211763544031585, 161368.63595772925], 'c': [2.2253022076503175, 41778061.52, 2717986744.506005]}"
1672835100,"{'v': [2.2220324564609246, 41673212.18, 2713993066.541704, 0.00013191559528217314, 161121.8638699643], 'c': [2.2220324564609246, 41673212.18, 2713993066.541704]}"
1672836000,"{'v': [2.2208790873121353, 41464812.44, 2712584340.101244, 0.00013190162526794327, 161104.80087808537], 'c': [2.2208790873121353, 41464812.44, 2712584340.101244]}"
1672836900,"{'v': [2.2162397811473644, 41500675.16, 2706917886.072572, 0.0001317814154661368, 160957.97648419117], 'c': [2.2162397811473644, 41500675.16, 2706917886.072572]}"
1672837800,"{'v': [2.2189176131561292, 41381081.81, 2710188593.2505975, 0.0001318173119819404, 161001.82053098743], 'c': [2.2189176131561292, 41381081.81, 2710188593.2505975]}"
1672838700,"{'v': [2.2202199284835467, 41350291.46, 2711779242.7295394, 0.0001318490138895767, 161040.5412784144], 'c': [2.2202199284835467, 41350291.46, 2711779242.7295394]}"
1672839300,"{'v': [2.2229171224498314, 41383876.15, 2715073598.6253457, 0.00013204310844590578, 161277.6085987404], 'c': [2.2229171224498314, 41383876.15, 2715073598.6253457]}"
1672840200,"{'v': [2.22087102258359, 41256201.32, 2712574489.8322744, 0.00013195502874325274, 161170.02794589783], 'c': [2.22087102258359, 41256201.32, 2712574489.8322744]}"
1672841100,"{'v': [2.2137649156890884, 41224570.03, 2703895082.479018, 0.00013151378850529677, 160631.0965981537], 'c': [2.2137649156890884, 41224570.03, 2703895082.479018]}"
1672842000,"{'v': [2.2172062873837985, 41294423.01, 2708098377.9311967, 0.00013184582845891864, 161036.65058964663], 'c': [2.2172062873837985, 41294423.01, 2708098377.9311967]}"
1672842900,"{'v': [2.212960510484642, 41345081.64, 2702912581.012305, 0.00013162802249359266, 160770.62212636863], 'c': [2.212960510484642, 41345081.64, 2702912581.012305]}"
1672843800,"{'v': [2.2115122789298285, 41378083.54, 2701143709.280894, 0.0001313232184353347, 160398.33408963878], 'c': [2.2115122789298285, 41378083.54, 2701143709.280894]}"
1672844700,"{'v': [2.207105812474284, 41329002.02, 2695761645.948055, 0.0001311424578762387, 160177.55292928068], 'c': [2.207105812474284, 41329002.02, 2695761645.948055]}"
1672845600,"{'v': [2.2070870907483804, 41389210.03, 2695738779.209926, 0.00013126434671070853, 160326.42809565284], 'c': [2.2070870907483804, 41389210.03, 2695738779.209926]}"
1672846200,"{'v': [2.208257412443309, 41309729.9, 2697168211.5102615, 0.00013133208900927324, 160409.16861912343], 'c': [2.208257412443309, 41309729.9, 2697168211.5102615]}"
1672847100,"{'v': [2.2150471409525863, 41316075.28, 2705461193.9301624, 0.00013157841700774217, 160710.03392736675], 'c': [2.2150471409525863, 41316075.28, 2705461193.9301624]}"
1672848000,"{'v': [2.2210400422891956, 41257241.13, 2712780930.7003136, 0.00013178664921288362, 160964.36898864878], 'c': [2.2210400422891956, 41257241.13, 2712780930.7003136]}"
1672848900,"{'v': [2.2140674552762896, 41470641.56, 2704264604.6881247, 0.00013127636624286402, 160341.10876642267], 'c': [2.2140674552762896, 41470641.56, 2704264604.6881247]}"
1672849800,"{'v': [2.217540031711698, 41331558.89, 2708506013.647445, 0.00013146482212791192, 160571.28900698657], 'c': [2.217540031711698, 41331558.89, 2708506013.647445]}"
1672850700,"{'v': [2.2186095455925097, 41139939.73, 2709812319.1645646, 0.0001315984997949175, 160734.56306734047], 'c': [2.2186095455925097, 41139939.73, 2709812319.1645646]}"
1672851600,"{'v': [2.2146535857133154, 40913248.98, 2704980505.096128, 0.00013129877220147056, 160368.4754307261], 'c': [2.2146535857133154, 40913248.98, 2704980505.096128]}"
1672852500,"{'v': [2.210189022842131, 40973523.22, 2699527482.732615, 0.00013112878785582373, 160160.85635020156], 'c': [2.210189022842131, 40973523.22, 2699527482.732615]}"
1672853100,"{'v': [2.209005983243995, 41006793.29, 2698082516.770282, 0.00013090825990041765, 159891.50324502506], 'c': [2.209005983243995, 41006793.29, 2698082516.770282]}"
1672854000,"{'v': [2.215656125208386, 41123720.01, 2706205008.0194063, 0.00013104390104523445, 160057.17549949652], 'c': [2.215656125208386, 41123720.01, 2706205008.0194063]}"
1672854900,"{'v': [2.2200612794227994, 41166393.01, 2711585468.579378, 0.00013129590412531796, 160364.97235912614], 'c': [2.2200612794227994, 41166393.01, 2711585468.579378]}"
1672855800,"{'v': [2.2182564231591226, 41018451.12, 2709381015.007388, 0.0001312074479107514, 160256.93183418774], 'c': [2.2182564231591226, 41018451.12, 2709381015.007388]}"
1672856700,"{'v': [2.222829275826569, 40899266.45, 2714966302.6559463, 0.00013136673146108628, 160451.48095068065], 'c': [2.222829275826569, 40899266.45, 2714966302.6559463]}"
1672857600,"{'v': [2.220459442482074, 40898154.89, 2712071785.410207, 0.00013104625757870316, 160060.05377225825], 'c': [2.220459442482074, 40898154.89, 2712071785.410207]}"
1672858500,"{'v': [2.2241764040054144, 40978026.56, 2716611686.604546, 0.0001311070314829311, 160134.28309065622], 'c': [2.2241764040054144, 40978026.56, 2716611686.604546]}"
1672859400,"{'v': [2.2409574379297545, 41211448.93, 2737108061.2581363, 0.00013255405350005227, 161901.67749130103], 'c': [2.2409574379297545, 41211448.93, 2737108061.2581363]}"
1672860000,"{'v': [2.235954268403696, 41270344.78, 2730997184.0902653, 0.0001322491929641772, 161529.3204727429], 'c': [2.235954268403696, 41270344.78, 2730997184.0902653]}"
1672860900,"{'v': [2.2258919256479617, 41340278.38, 2718707026.764785, 0.00013231114813453155, 161604.9925909828], 'c': [2.2258919256479617, 41340278.38, 2718707026.764785]}"
1672861800,"{'v': [2.2221873383238337, 41346603.25, 2714182239.4319773, 0.00013194393099839104, 161156.47314721733], 'c': [2.2221873383238337, 41346603.25, 2714182239.4319773]}"
1672862700,"{'v': [2.2246323703242363, 41262704.97, 2717168604.4048514, 0.0001320745109276875, 161315.96362707493], 'c': [2.2246323703242363, 41262704.97, 2717168604.4048514]}"
1672863600,"{'v': [2.2275404813018223, 41338024.71, 2720720574.587354, 0.0001322649757687696, 161548.59760891157], 'c': [2.2275404813018223, 41338024.71, 2720720574.587354]}"
